currency_id;symbol;type_en_name;size;before_balance;after_balance;refer_id;create_time
7;USDT;otc_create_order;-978.35;29404.409079136134;28426.059079136132;2274571618;2025-11-03 23:37:53
7;USDT;otc_create_order;-957.57;30361.979079136134;29404.409079136134;2274531771;2025-11-03 23:07:08
7;USDT;otc_create_order;-1731.6;32093.579079136132;30361.979079136134;2274499394;2025-11-03 22:31:10
7;USDT;otc_create_order;-1636.36;33729.93907913614;32093.579079136132;2274446554;2025-11-03 21:30:01
7;USDT;otc_create_order;-4311.68;38041.61907913614;33729.93907913614;2274437308;2025-11-03 21:18:33
7;USDT;otc_cancel_order;4311.68;33729.93907913614;38041.61907913614;2274435066;2025-11-03 21:15:45
7;USDT;otc_create_order;-1731.6;35461.539079136135;33729.93907913614;2274433441;2025-11-03 21:13:48
7;USDT;otc_create_order;-4311.68;39773.219079136135;35461.539079136135;2274422962;2025-11-03 21:00:44
7;USDT;otc_create_order;-1724.13;41497.34907913613;39773.219079136135;2274276916;2025-11-03 18:04:00
7;USDT;otc_cancel_order;862.06;40635.289079136135;41497.34907913613;2274271014;2025-11-03 17:57:22
7;USDT;otc_cancel_order;1706.89;38928.399079136136;40635.289079136135;2274262702;2025-11-03 17:47:28
7;USDT;otc_create_order;-1706.89;40635.289079136135;38928.399079136136;2274262323;2025-11-03 17:47:00
7;USDT;otc_create_order;-862.06;41497.34907913613;40635.289079136135;2274250615;2025-11-03 17:32:20
7;USDT;otc_cancel_order;1683.62;39813.72907913613;41497.34907913613;2274249479;2025-11-03 17:30:57
7;USDT;otc_create_order;-1683.62;41497.34907913613;39813.72907913613;2274248738;2025-11-03 17:30:02
7;USDT;otc_create_order;-1034.48;42531.829079136136;41497.34907913613;2274139649;2025-11-03 15:39:48
7;USDT;otc_create_order;-1724.13;44255.95907913613;42531.829079136136;2274138879;2025-11-03 15:38:48
7;USDT;otc_create_order;-862.06;45118.01907913613;44255.95907913613;2274135278;2025-11-03 15:34:34
7;USDT;otc_create_order;-1431.03;46549.04907913613;45118.01907913613;2274124425;2025-11-03 15:22:04
7;USDT;otc_cancel_order;1724.13;44824.91907913613;46549.04907913613;2274106213;2025-11-03 15:01:54
7;USDT;otc_create_order;-1724.13;46549.04907913613;44824.91907913613;2274105528;2025-11-03 15:01:12
7;USDT;otc_cancel_order;1431.03;45118.01907913613;46549.04907913613;2274098452;2025-11-03 14:54:21
7;USDT;otc_create_order;-1431.03;46549.04907913613;45118.01907913613;2274097811;2025-11-03 14:53:49
7;USDT;otc_create_order;-862.06;47411.109079136135;46549.04907913613;2274094770;2025-11-03 14:51:19
7;USDT;otc_create_order;-3413.79;50824.899079136136;47411.109079136135;2273934960;2025-11-03 13:25:44
7;USDT;otc_create_order;-1706.89;52531.789079136135;50824.899079136136;2273917144;2025-11-03 13:10:10
7;USDT;otc_create_order;-236.41;52768.19907913613;52531.789079136135;2273231722;2025-11-02 22:50:24
7;USDT;deposit;52679.72;88.4790791361335;52768.19907913613;353319843;2025-11-02 21:29:13
7;USDT;otc_create_order;-859.1;947.5790791361335;88.4790791361335;2270850096;2025-10-31 18:48:05
7;USDT;otc_cancel_order;945.01;2.5690791361335;947.5790791361335;2270849702;2025-10-31 18:47:34
7;USDT;otc_create_order;-945.01;947.5790791361335;2.5690791361335;2270825461;2025-10-31 18:22:30
7;USDT;otc_cancel_order;945.01;2.5690791361335;947.5790791361335;2270817717;2025-10-31 18:12:13
7;USDT;otc_create_order;-1202.74;1205.3090791361335;2.5690791361335;2270809375;2025-10-31 18:01:20
7;USDT;otc_create_order;-1649.48;2854.7890791361333;1205.3090791361335;2270801056;2025-10-31 17:51:05
7;USDT;otc_create_order;-1718.21;4572.999079136133;2854.7890791361333;2270799408;2025-10-31 17:49:09
7;USDT;otc_create_order;-2749.14;7322.139079136134;4572.999079136133;2270798065;2025-10-31 17:47:30
7;USDT;otc_create_order;-945.01;8267.149079136134;7322.139079136134;2270797762;2025-10-31 17:47:10
7;USDT;otc_cancel_order;3938.35;4328.7990791361335;8267.149079136134;2270762799;2025-10-31 17:04:57
7;USDT;otc_create_order;-856.16;5184.959079136133;4328.7990791361335;2270755116;2025-10-31 16:57:16
7;USDT;otc_create_order;-3938.35;9123.309079136134;5184.959079136133;2270736529;2025-10-31 16:39:57
7;USDT;otc_create_order;-1703.76;10827.069079136134;9123.309079136134;2270692369;2025-10-31 16:21:56
7;USDT;otc_cancel_order;1049.65;9777.419079136134;10827.069079136134;2270683212;2025-10-31 16:10:37
7;USDT;otc_create_order;-1049.65;10827.069079136134;9777.419079136134;2270679125;2025-10-31 16:05:50
7;USDT;otc_cancel_order;856.16;9970.909079136134;10827.069079136134;2270676771;2025-10-31 16:05:06
7;USDT;otc_cancel_order;856.16;9114.749079136134;9970.909079136134;2270669532;2025-10-31 15:56:59
7;USDT;otc_create_order;-856.16;9970.909079136134;9114.749079136134;2270663807;2025-10-31 15:50:31
7;USDT;otc_create_order;-856.16;10827.069079136134;9970.909079136134;2270663385;2025-10-31 15:50:03
7;USDT;deposit;10825.33;1.7390791361335;10827.069079136134;352656524;2025-10-31 15:39:17
